Project,Fundraise,Pre-valuation,Stage,Investors,Category,Date,Year
Reservoir,14,140,Series A,SpaceshipDAO,Infrastructure,2/5/2025,2025
OLAS,14,138,Funding Round,1kx,Artificial Intelligence,2/4/2025,2025
OLAS,14,138,Funding Round,Zee Prime Capital,Artificial Intelligence,2/4/2025,2025
OLAS,14,138,Funding Round,Borderless Capital,Artificial Intelligence,2/4/2025,2025
OLAS,14,138,Funding Round,Keyrock,Artificial Intelligence,2/4/2025,2025
OLAS,14,138,Funding Round,Tioga Capital Partners,Artificial Intelligence,2/4/2025,2025
OLAS,14,138,Funding Round,Sigil Fund,Artificial Intelligence,2/4/2025,2025
Taproot Wizards,30,300,Funding Round,Standard Crypto,Meme,2/4/2025,2025
Taproot Wizards,30,300,Funding Round,Newman Capital,Meme,2/4/2025,2025
Taproot Wizards,30,300,Funding Round,Collider Ventures,Meme,2/4/2025,2025
Taproot Wizards,30,300,Funding Round,Geometry DAO,Meme,2/4/2025,2025
Taproot Wizards,30,300,Funding Round,cyber Fund,Meme,2/4/2025,2025
Taproot Wizards,30,300,Funding Round,Masterkey,Meme,2/4/2025,2025
Beamable,14,135,Series A,BITKRAFT Ventures,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,P2 Ventures,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,Scytale,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,Solana Foundation,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,Permit Ventures,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,2PunksCapital,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,Arca,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,Advancit Capital,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,GrandBanks Capital,Infrastructure,2/4/2025,2025
Beamable,14,135,Series A,Defy.vc,Infrastructure,2/4/2025,2025
Flashnet,5,45,Seed Round,Accomplice,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Chapter One Ventures,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Abstract Ventures,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Guillermo Rauch,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Soma Capital,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Fan Zhang,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,UTXO Management,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,HF0,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Gwart,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Alexei Lebedev,DEX,2/4/2025,2025
Flashnet,5,45,Seed Round,Christian Catalini,DEX,2/4/2025,2025
Herd,2,18,Pre-seed,Semantic Ventures,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Archetype,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Vishesh Choudhry,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Fredrik Haga,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Will Price,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Jess Sloss,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,David Phelps,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Paul Taylor,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Hardi Meybaum,Blockchain Service,2/3/2025,2025
Herd,2,18,Pre-seed,Mats Olsen,Blockchain Service,2/3/2025,2025
GG,4,40,Strategic Round,Framework Ventures,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Sfermion,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,BitScale Capital,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,The Spartan Group,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Amber Group,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Sanctor Capital,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Santiago Roel Santos,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Mirana Ventures,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Play Ventures,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Infinity Ventures Crypto,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Folius Ventures,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Dune Ventures,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Avocado Guild,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,DWeb3 Capital,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Gabby Dizon,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Ancient8,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Gate Ventures,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Next Web Capital,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Ready Player DAO,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Ocular VC,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Presto Labs,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Karatage,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Skycatcher,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Grail.eth,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,TON Ventures,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,KGeN,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Razer,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Vader Research,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Colleen Sullivan,Gaming,2/3/2025,2025
GG,4,40,Strategic Round,Jonathan Huang,Gaming,2/3/2025,2025
Cipher Mining,50,500,Funding Round,Softbank,Blockchain Service,1/31/2025,2025
VitalVEDA,20,200,Funding Round,Rollman Management,Sport,1/31/2025,2025
ELA,20,200,Funding Round,Rollman Management,Blockchain,1/30/2025,2025
Cedar Money,10,99,Seed Round,North Island Ventures,Blockchain Service,1/30/2025,2025
Cedar Money,10,99,Seed Round,QED Investors,Blockchain Service,1/30/2025,2025
Cedar Money,10,99,Seed Round,Stellar Foundation,Blockchain Service,1/30/2025,2025
Cedar Money,10,99,Seed Round,Lattice,Blockchain Service,1/30/2025,2025
Cedar Money,10,99,Seed Round,Wischoff Ventures,Blockchain Service,1/30/2025,2025
Irreducible,24,240,Series A,Paradigm,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Fenbushi Capital,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Robot Ventures,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Sina Habibian,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Bain Capital Crypto,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Daniel Lubarov,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,L2 Iterative Ventures (L2IV),Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Anna Rose,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Varun Srinivasan,Infrastructure,1/30/2025,2025
Irreducible,24,240,Series A,Brendan Farmer,Infrastructure,1/30/2025,2025
D3,25,250,Funding Round,Paradigm,Blockchain Service,1/29/2025,2025
D3,25,250,Funding Round,Coinbase Ventures,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Multicoin Capital,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Hypersphere Ventures,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Selini Capital,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Nascent,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Chapter One Ventures,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Borderless Capital,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Joshua Lim,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,GSR Markets (GSR),Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Modular Capital,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Georgios Vlachos,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Relayer Capital,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,cygaar,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,TN Lee,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Steven Kokinos,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Enigma,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Guy Young,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Nathan Allman,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Bruno F,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,Bede Schubert,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,JPEG Trading,Blockchain Service,1/29/2025,2025
Mevvy,3,28,Seed Round,RHINO,Blockchain Service,1/29/2025,2025
Canopy,1,12,Strategic Round,Mechanism Capital,Yield Aggregator,1/29/2025,2025
Canopy,1,12,Strategic Round,GSR Markets (GSR),Yield Aggregator,1/29/2025,2025
Canopy,1,12,Strategic Round,"CitizenX Crypto Ventures Fund, L.P.",Yield Aggregator,1/29/2025,2025
Canopy,1,12,Strategic Round,Side Door Ventures,Yield Aggregator,1/29/2025,2025
Canopy,1,12,Strategic Round,Primitive,Yield Aggregator,1/29/2025,2025
Bluwhale,10,100,Series A,DWF Labs,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,SwissBorg Ventures,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,NewTribe Capital,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Moon Capital,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Cryptonite Capital,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Cointelegraph,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Citizen Capital,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Arbitrum Foundation,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,London Real Ventures,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Baboon VC,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Kahuna,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Movement,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,CoinBureau,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Vitality Ventures,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Altcoin Daily,Blockchain Service,1/28/2025,2025
Bluwhale,10,100,Series A,Hub71,Blockchain Service,1/28/2025,2025
pod,10,100,Seed Round,1kx,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,a16z crypto CSX,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Waikit Lau,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Protagonist,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Nick White,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Blockchain Builders Fund,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Georgios Vlachos,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Flashbots,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,David Tse,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Sergey Gorbunov,Blockchain,1/28/2025,2025
pod,10,100,Seed Round,Mounir Benchemled,Blockchain,1/28/2025,2025
Fireverse,3,25,Series A,Chain Capital,Music,2/13/2025,2025
Fireverse,3,25,Series A,Stratified Capital,Music,2/13/2025,2025
Fireverse,3,25,Series A,Gate Labs,Music,2/13/2025,2025
Fireverse,3,25,Series A,Central Research Capital,Music,2/13/2025,2025
Fireverse,3,25,Series A,T-Fund,Music,2/13/2025,2025
Fireverse,3,25,Series A,BingX Labs,Music,2/13/2025,2025
Fireverse,3,25,Series A,Nobody,Music,2/13/2025,2025
Fireverse,3,25,Series A,TCC Capital,Music,2/13/2025,2025
BLUM,5,50,Seed Round,YZi Labs (prev Binance Labs),Trading Bot,2/12/2025,2025
BLUM,5,50,Seed Round,gumi Cryptos Capital,Trading Bot,2/12/2025,2025
BLUM,5,50,Seed Round,BitScale Capital,Trading Bot,2/12/2025,2025
BLUM,5,50,Seed Round,The Spartan Group,Trading Bot,2/12/2025,2025
BLUM,5,50,Seed Round,OKX Ventures,Trading Bot,2/12/2025,2025
BLUM,5,50,Seed Round,Wintermute,Trading Bot,2/12/2025,2025
BLUM,5,50,Seed Round,No Limit Holdings,Trading Bot,2/12/2025,2025
BLUM,5,50,Seed Round,The Open Platform,Trading Bot,2/12/2025,2025
Cabal,3,0,Funding Round,Hack VC,DeFi,2/12/2025,2025
Cabal,3,0,Funding Round,Nick Chong,DeFi,2/12/2025,2025
Cabal,3,0,Funding Round,Delphi Ventures,DeFi,2/12/2025,2025
Cabal,3,0,Funding Round,Nascent,DeFi,2/12/2025,2025
Cabal,3,0,Funding Round,DCF GOD,DeFi,2/12/2025,2025
Cabal,3,0,Funding Round,Darren Lau,DeFi,2/12/2025,2025
Cabal,3,0,Funding Round,"CitizenX Crypto Ventures Fund, L.P.",DeFi,2/12/2025,2025
Cabal,3,0,Funding Round,chainyoda.eth,DeFi,2/12/2025,2025
Drosera,3,33,Seed Round,Arrington XRP Capital,Blockchain Service,2/11/2025,2025
Drosera,3,33,Seed Round,UDHC,Blockchain Service,2/11/2025,2025
Drosera,3,33,Seed Round,Greenfield Capital,Blockchain Service,2/11/2025,2025
Drosera,3,33,Seed Round,Paper Ventures,Blockchain Service,2/11/2025,2025
Legend,15,150,Funding Round,Andreessen Horowitz (a16z),Wallet,2/11/2025,2025
Legend,15,150,Funding Round,Coinbase Ventures,Wallet,2/11/2025,2025
Mirai Labs,4,40,Seed Round,Mechanism Capital,Infrastructure,2/11/2025,2025
Mirai Labs,4,40,Seed Round,BitScale Capital,Infrastructure,2/11/2025,2025
Mirai Labs,4,40,Seed Round,Manifold Trading,Infrastructure,2/11/2025,2025
Mirai Labs,4,40,Seed Round,Selini Capital,Infrastructure,2/11/2025,2025
Mirai Labs,4,40,Seed Round,Protagonist,Infrastructure,2/11/2025,2025
Mirai Labs,4,40,Seed Round,Oak Grove Ventures,Infrastructure,2/11/2025,2025
Mirai Labs,4,40,Seed Round,Sophon,Infrastructure,2/11/2025,2025
Mirai Labs,4,40,Seed Round,Lhava,Infrastructure,2/11/2025,2025
Whetstone,1,13,Pre-seed,Variant,DeFi,2/11/2025,2025
Whetstone,1,13,Pre-seed,Nascent,DeFi,2/11/2025,2025
Whetstone,1,13,Pre-seed,Figment Capital,DeFi,2/11/2025,2025
Whetstone,1,13,Pre-seed,Uniswap,DeFi,2/11/2025,2025
Whetstone,1,13,Pre-seed,Ambush Capital,DeFi,2/11/2025,2025
Whetstone,1,13,Pre-seed,Credibly Neutral,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,Electric Capital,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,Sam Kazemian,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,New Form Capital,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,DeFi Dad,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,Kraynos Capital,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,Baboon VC,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,Justin Reyes,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,Amplice,DeFi,2/11/2025,2025
InfiniFi,3,30,Pre-seed,Alan Keegan,DeFi,2/11/2025,2025
NodeGo,8,80,Funding Round,Hash Capital,Infrastructure,2/10/2025,2025
Fragmetric,7,70,Seed Round,Hypersphere Ventures,Liquid Restaking Tokens (LRTs) +1,2/7/2025,2025
Fragmetric,7,70,Seed Round,BitScale Capital,Liquid Restaking Tokens (LRTs) +1,2/7/2025,2025
Fragmetric,7,70,Seed Round,Hashed,Liquid Restaking Tokens (LRTs) +1,2/7/2025,2025
Fragmetric,7,70,Seed Round,Finality Capital Partners,Liquid Restaking Tokens (LRTs) +1,2/7/2025,2025
Fragmetric,7,70,Seed Round,Presto Labs,Liquid Restaking Tokens (LRTs) +1,2/7/2025,2025
Fragmetric,7,70,Seed Round,Flowdesk,Liquid Restaking Tokens (LRTs) +1,2/7/2025,2025
Fragmetric,7,70,Seed Round,Halo Capital,Liquid Restaking Tokens (LRTs) +1,2/7/2025,2025
Prodigy.Fi,5,50,Seed Round,Panony,DeFi,2/7/2025,2025
Prodigy.Fi,5,50,Seed Round,Republic,DeFi,2/7/2025,2025
Prodigy.Fi,5,50,Seed Round,Quantstamp,DeFi,2/7/2025,2025
Prodigy.Fi,5,50,Seed Round,RSK Capital,DeFi,2/7/2025,2025
Prodigy.Fi,5,50,Seed Round,Arbelos Markets,DeFi,2/7/2025,2025
Prodigy.Fi,5,50,Seed Round,Samara Alpha Management,DeFi,2/7/2025,2025
Coala Pay,4,35,Seed Round,Castle Island Ventures,Blockchain Service,2/7/2025,2025
Coala Pay,4,35,Seed Round,Lattice,Blockchain Service,2/7/2025,2025
Coala Pay,4,35,Seed Round,Factor Capital,Blockchain Service,2/7/2025,2025
Superlogic,14,200,Series A,Amex Ventures,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,TenSquared,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Powerledger,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Hyla,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Sanctor Capital,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Galaxy Interactive,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Nima Capital,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Liquid 2 Ventures,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Actai Ventures,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Recharge Capital,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Sangha Capital,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Mirabaud AM,Marketing,2/6/2025,2025
Superlogic,14,200,Series A,Dispersion Capital,Marketing,2/6/2025,2025
Fraktion,1,11,Seed Round,Tezos Foundation,Blockchain Service,2/6/2025,2025
Fraktion,1,11,Seed Round,Cabrit Capital,Blockchain Service,2/6/2025,2025
Fraktion,1,11,Seed Round,Vox Capital,Blockchain Service,2/6/2025,2025
Fraktion,1,11,Seed Round,Olivier Huby,Blockchain Service,2/6/2025,2025
Fraktion,1,11,Seed Round,Andrea Bensaid,Blockchain Service,2/6/2025,2025
Fraktion,1,11,Seed Round,Guillaume Mayot,Blockchain Service,2/6/2025,2025
INXY Payments,3,30,Funding Round,Flashpoint VC,Blockchain Service,2/6/2025,2025
Rho Labs,4,40,Seed Round,CoinFund,DeFi,2/5/2025,2025
Rho Labs,4,40,Seed Round,Flow Traders,DeFi,2/5/2025,2025
Rho Labs,4,40,Seed Round,Speedinvest,DeFi,2/5/2025,2025
Rho Labs,4,40,Seed Round,Auros Global,DeFi,2/5/2025,2025
Henlo,3,30,Seed Round,Framework Ventures,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,SNZ Holding,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,DCF GOD,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,ViaBTC Capital,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Primitive Ventures,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Rubik Ventures,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Baboon VC,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Wizards Capital,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Paramount Capital,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Jon Janitor,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Asylum Ventures,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,kirbycrypto.hl,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,K Erica,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,Steve Bearwin,Meme,2/5/2025,2025
Henlo,3,30,Seed Round,CryptoKatryna,Meme,2/5/2025,2025
Plasma,24,240,Funding Round,Framework Ventures,Blockchain Service,2/13/2025,2025
Plasma,24,240,Funding Round,Bitfinex,Blockchain Service,2/13/2025,2025
Plasma,24,240,Funding Round,Peter Thiel,Blockchain Service,2/13/2025,2025
Plasma,24,240,Funding Round,Paolo Ardoino,Blockchain Service,2/13/2025,2025
TENEO,3,30,Seed Round,Moonrock Capital,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,Outlier Ventures,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,Borderless Capital,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,RockawayX,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,Certik,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,Advanced Blockchain,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,Token Ventures,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,GenerativeVentures,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,X Ventures,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,EOT Ventures,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,Venionaire Capital,DePIN,2/13/2025,2025
TENEO,3,30,Seed Round,MN Capital,DePIN,2/13/2025,2025
Sign,16,160,Funding Round,YZi Labs (prev Binance Labs),Infrastructure,1/28/2025,2025
MCQ Markets,1,12,Strategic Round,SOL Global,Finance,1/28/2025,2025
ANLOG,5,300,Funding Round,Sam Kazemian,Infrastructure,1/27/2025,2025
ANLOG,5,300,Funding Round,Foresight Ventures,Infrastructure,1/27/2025,2025
ANLOG,5,300,Funding Round,Gate Ventures,Infrastructure,1/27/2025,2025
ANLOG,5,300,Funding Round,Black Label,Infrastructure,1/27/2025,2025
ANLOG,5,300,Funding Round,Thad Luckinbill,Infrastructure,1/27/2025,2025
ANLOG,5,300,Funding Round,Trent Luckinbill,Infrastructure,1/27/2025,2025
ANLOG,5,300,Funding Round,Molly Smith,Infrastructure,1/27/2025,2025
ANLOG,5,300,Funding Round,BackerDAO,Infrastructure,1/27/2025,2025
PELL,4,35,Strategic Round,ArkStream Capital,DeFi,1/27/2025,2025
PELL,4,35,Strategic Round,Goplus,DeFi,1/27/2025,2025
PELL,4,35,Strategic Round,MultiversX,DeFi,1/27/2025,2025
PELL,4,35,Strategic Round,Taisu Ventures,DeFi,1/27/2025,2025
PELL,4,35,Strategic Round,Web3Port,DeFi,1/27/2025,2025
PELL,4,35,Strategic Round,D11 Labs,DeFi,1/27/2025,2025
PELL,4,35,Strategic Round,Core Ventures,DeFi,1/27/2025,2025
PELL,4,35,Strategic Round,Astrarizon Ventures,DeFi,1/27/2025,2025
Fableborne,12,124,Strategic Round,The Spartan Group,Gaming,1/27/2025,2025
Fableborne,12,124,Strategic Round,L1 Digital,Gaming,1/27/2025,2025
Fableborne,12,124,Strategic Round,Yield Guild Games (YGG),Gaming,1/27/2025,2025
Fableborne,12,124,Strategic Round,Delphi Ventures,Gaming,1/27/2025,2025
Fableborne,12,124,Strategic Round,Animoca Brands,Gaming,1/27/2025,2025
Fableborne,12,124,Strategic Round,Sky Mavis,Gaming,1/27/2025,2025
Fableborne,12,124,Strategic Round,Arete Capital,Gaming,1/27/2025,2025
Humanity Protocol,20,200,Funding Round,NA,Infrastructure,1/27/2025,2025
WLFI,10,100,Funding Round,Web3Port,DeFi,1/27/2025,2025
Accrue,2,16,Seed Round,Maven 11 Capital,Infrastructure,1/25/2025,2025
Accrue,2,16,Seed Round,Lattice Capital,Infrastructure,1/25/2025,2025
Accrue,2,16,Seed Round,Distributed Capital Partners,Infrastructure,1/25/2025,2025
Accrue,2,16,Seed Round,Kraynos Capital,Infrastructure,1/25/2025,2025
Accrue,2,16,Seed Round,LAVA,Infrastructure,1/25/2025,2025
MinionLab,2,20,Pre-seed,Jsquare,Blockchain Service,1/24/2025,2025
MinionLab,2,20,Pre-seed,Capital6 Eagle,Blockchain Service,1/24/2025,2025
Printr,3,25,Pre-seed,Sfermion,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,BitScale Capital,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Draper Dragon,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Sam Kazemian,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Waikit Lau,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Axelar,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Web3.com Ventures,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Sui Foundation,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Georgios Vlachos,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Altcoin Sherpa,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Paul Taylor,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Nom,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Comfy capital,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Lauris,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Sergey Gorbunov,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,Flow Ecosystem Fund,Launchpad,1/24/2025,2025
Printr,3,25,Pre-seed,OX.FUN,Launchpad,1/24/2025,2025
Inception,4,35,Seed Round,Chorus One,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,CSP DAO,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,DuckDAO,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Gains Associates,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Mr. Block,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Zephyrus Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Dext Force Ventures,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Unreal Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,W.L.I Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Connectico Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Nebulae,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,DSRV,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Dewhales,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Castrum Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Spicy Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,London Real Ventures,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Green Arrow Ventures,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,AZA Ventures,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Whale Ground,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Black Dragon Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Metazero Capital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Absoluta Digital,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,The Rollup Ventures,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Tal Cohen,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Rachid Ajaja,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Tagus Labs,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,A41,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Nodeinfra,DeFi,1/24/2025,2025
Inception,4,35,Seed Round,Darren Camas,DeFi,1/24/2025,2025
