Year,Total_Platforms,Growth_Pct,Covered,Unserviced,Unserviced_Pct
2019,64,48.837209302325576,0,64.0,100.0
2020,89,39.0625,0,89.0,100.0
2021,134,50.56179775280899,0,134.0,100.0
2022,182,35.82089552238806,7,175.0,96.15384615384616
2023,264,45.05494505494506,25,239.0,90.53030303030303
2024,455,72.34848484848484,59,396.0,87.03296703296704
2025,498,9.45054945054945,158,340.0,68.27309236947792
