Timestamp,Date,Ethereum,Arbitrum,Solana,BSC,Linea,Polygon,Avalanche,Optimism,Sei,Osmosis,Sui,Ink,Hyperliquid,Blast,Scroll,Abstract,Sonic,Axelar,Stride,Fraxtal,Taiko,Secret,Celo,Kava,Berachain,Terra Classic,Merlin,Metis,Soneium,Lisk,Cronos,opBNB,Mode,Kujira,Klaytn,Zircuit,Evmos,Rootstock,Gnosis,Moonbeam,Zora,Fuse,Juno,Bitlayer,Boba,Flow,Fantom,Harmony,Redstone,XDC,Ronin,Canto,Injective,Astar,Bitlayer.1,Moonriver,BOB,zkLink Nova,Mint,Telos,Sifchain,Aurora,Algorand,ZetaChain,StarkNet,Conflux,Meter,Bitcoin,Zkfair,BSquared,Paradex,Ton,Tron,Wanchain,X Layer,Energi,Songbird,Ripple,Cardano,OKExChain,Kroma,KCC,ThunderCore,BounceBit,Dogechain,Near,Karura,Acala,Oasis,Eclipse,Gravity Bridge,X Layer.1,datetime,Ethereum_abs,Arbitrum_abs,Solana_abs,BSC_abs,Linea_abs,Polygon_abs,Avalanche_abs,Optimism_abs,Sei_abs,Osmosis_abs,Sui_abs,Ink_abs,Hyperliquid_abs,Blast_abs,Scroll_abs,Abstract_abs,Sonic_abs,Axelar_abs,Stride_abs,Fraxtal_abs,Taiko_abs,Secret_abs,Celo_abs,Kava_abs,Berachain_abs,Terra Classic_abs,Merlin_abs,Metis_abs,Soneium_abs,Lisk_abs,Cronos_abs,opBNB_abs,Mode_abs,Kujira_abs,Klaytn_abs,Zircuit_abs,Evmos_abs,Rootstock_abs,Gnosis_abs,Moonbeam_abs,Zora_abs,Fuse_abs,Juno_abs,Bitlayer_abs,Boba_abs,Flow_abs,Fantom_abs,Harmony_abs,Redstone_abs,XDC_abs,Ronin_abs,Canto_abs,Injective_abs,Astar_abs,Bitlayer.1_abs,Moonriver_abs,BOB_abs,zkLink Nova_abs,Mint_abs,Telos_abs,Sifchain_abs,Aurora_abs,Algorand_abs,ZetaChain_abs,StarkNet_abs,Conflux_abs,Meter_abs,Bitcoin_abs,Zkfair_abs,BSquared_abs,Paradex_abs,Ton_abs,Tron_abs,Wanchain_abs,X Layer_abs,Energi_abs,Songbird_abs,Ripple_abs,Cardano_abs,OKExChain_abs,Kroma_abs,KCC_abs,ThunderCore_abs,BounceBit_abs,Dogechain_abs,Near_abs,Karura_abs,Acala_abs,Oasis_abs,Eclipse_abs,Gravity Bridge_abs,X Layer.1_abs,total_volume
1735689600,2025-01-01,11586916.82383302,-13242795.480019182,-13047551.072622651,-3513612.283141099,2274696.6028804844,2860145.898225679,-914320.82157599,-2159237.936888764,-591208.5098749548,612215.5586375864,6163275.175522089,,,1789648.920898288,799926.5468780047,,,-395422.0487207441,-46494.71332317626,-64798.1547274455,-216542.29602645032,-2103.883812422486,-5290.355403537978,-477061.3228295485,,-5862.200981930457,22924.08620175519,259834.88279692156,,0.0,8211.835590382758,-14322.62593924384,108980.0384358262,-8528.104742194322,45139.91002985299,52.399676492356,-6020.331599934981,-40693.93399657268,84317.54065610122,543362.7168467815,4002.79905771,,-3873.6854703244335,-35462.22425756784,-2580.6867070299427,,-721573.5146852313,,,-3486.806412,,0.0581209991999999,23188.5484316613,,-35462.22425756784,,8635.142981039999,,9605.051224891797,,-341.0773136913708,48445.50774248315,84128.14170642999,,,,,,244.836363204,2529.319646418232,,,0.0,,990.3841964331576,,,,,,5223.067132,-0.649445341588,,,,-2987.34226932,,0.3566545500002576,,,1925.208126408184,990.3841964331576,2025-01-01,11586916.82383302,13242795.480019182,13047551.072622651,3513612.283141099,2274696.6028804844,2860145.898225679,914320.82157599,2159237.936888764,591208.5098749548,612215.5586375864,6163275.175522089,,,1789648.920898288,799926.5468780047,,,395422.0487207441,46494.71332317626,64798.1547274455,216542.29602645032,2103.883812422486,5290.355403537978,477061.3228295485,,5862.200981930457,22924.08620175519,259834.88279692156,,0.0,8211.835590382758,14322.62593924384,108980.0384358262,8528.104742194322,45139.91002985299,52.399676492356,6020.331599934981,40693.93399657268,84317.54065610122,543362.7168467815,4002.79905771,,3873.6854703244335,35462.22425756784,2580.6867070299427,,721573.5146852313,,,3486.806412,,0.0581209991999999,23188.5484316613,,35462.22425756784,,8635.142981039999,,9605.051224891797,,341.0773136913708,48445.50774248315,84128.14170642999,,,,,,244.836363204,2529.319646418232,,,0.0,,990.3841964331576,,,,,,5223.067132,0.649445341588,,,,2987.34226932,,0.3566545500002576,,,1925.208126408184,990.3841964331576,62907192.02973384
1735776000,2025-01-02,26380719.116152138,33866549.8891696,-20168799.4527201,7184051.134233959,-1255888.6320932235,-17869554.995851405,31446431.172719557,3389995.185484117,1769978.2384539838,-1099138.2695023576,11429222.310864983,,,3680850.892642685,-204350.67759193943,,,378823.805705984,-80445.25062400056,-16311.897480213142,-466406.2533284053,41435.62983713267,21828.898994254647,-170528.24566021177,,-372.0827107047349,-14983.71006896731,11666.5958024094,,0.0,14857.254618972664,16427.85688735183,285677.3708032778,-55577.1100774197,2555.4421755988296,-179.79462,-5298.914713578108,-434343.19405586,219878.0057791454,396354.4072428858,8584.522115083855,-0.482740762446,-9051.128892051762,-58022.450763622095,5712.216493585642,0.0,53456.26696303394,,,-2987.583858,,-2.7975146212379483,35309.34265637561,-2983.437324,-58022.450763622095,-124.16964633634734,5544.180800850003,,17470.81553957027,,-1583.063363749297,217313.9984880911,-5817.090842360001,,,,,,294.588877697914,659.451142967604,,,0.0,,227.54734732345565,,,,,156.97289497499878,4183.90237246,0.0,,,,,39.71780179,115.76949453,,,9.813813555836305,227.54734732345565,2025-01-02,26380719.116152138,33866549.8891696,20168799.4527201,7184051.134233959,1255888.6320932235,17869554.995851405,31446431.172719557,3389995.185484117,1769978.2384539838,1099138.2695023576,11429222.310864983,,,3680850.892642685,204350.67759193943,,,378823.805705984,80445.25062400056,16311.897480213142,466406.2533284053,41435.62983713267,21828.898994254647,170528.24566021177,,372.0827107047349,14983.71006896731,11666.5958024094,,0.0,14857.254618972664,16427.85688735183,285677.3708032778,55577.1100774197,2555.4421755988296,179.79462,5298.914713578108,434343.19405586,219878.0057791454,396354.4072428858,8584.522115083855,0.482740762446,9051.128892051762,58022.450763622095,5712.216493585642,0.0,53456.26696303394,,,2987.583858,,2.7975146212379483,35309.34265637561,2983.437324,58022.450763622095,124.16964633634734,5544.180800850003,,17470.81553957027,,1583.063363749297,217313.9984880911,5817.090842360001,,,,,,294.588877697914,659.451142967604,,,0.0,,227.54734732345565,,,,,156.97289497499878,4183.90237246,0.0,,,,,39.71780179,115.76949453,,,9.813813555836305,227.54734732345565,162867382.99852479
1735862400,2025-01-03,6156289.257003516,28013716.65829357,-14161710.62910553,-6893704.880243406,2215083.6397533696,3172217.430854392,17610792.268210527,11294391.2495102,1669371.9244326963,480110.8861318669,4079902.722572339,,,2137614.067056108,-1815940.8512510764,,,-82493.03580511035,-13977.908645452932,-64336.98909807191,-672672.5298760266,,-25397.395558377262,-1359773.1880320692,,-704.0484792106088,388868.7869080141,-48883.16770949721,,0.0,41867.47163700077,111405.2225423296,23945.020444955386,-86602.61858813866,16397.445085526382,,-4531.662713249659,-220777.08062106316,131162.69777654635,125716.5929218866,16789.780526318227,,-18342.322573230154,-11436.327787509696,2268.6166306061123,0.0,768190.7562264428,,,-769.429066075504,,-36.41169809345591,2660.007489387528,,-11436.327787509696,375.2780737557746,20134.237375784003,,17234.538592125617,,-3263.7029961448197,94772.2433176724,-2655.62610467,,,,,,97.47474839,2476.324078471256,,,0.0,,-1765.6312434468036,,,,,,4011.9240683157527,,,,,-378.84,-1999.279,-1969.70290687,20597.88572737,,8407.90130877543,-1765.6312434468036,2025-01-03,6156289.257003516,28013716.65829357,14161710.62910553,6893704.880243406,2215083.6397533696,3172217.430854392,17610792.268210527,11294391.2495102,1669371.9244326963,480110.8861318669,4079902.722572339,,,2137614.067056108,1815940.8512510764,,,82493.03580511035,13977.908645452932,64336.98909807191,672672.5298760266,,25397.395558377262,1359773.1880320692,,704.0484792106088,388868.7869080141,48883.16770949721,,0.0,41867.47163700077,111405.2225423296,23945.020444955386,86602.61858813866,16397.445085526382,,4531.662713249659,220777.08062106316,131162.69777654635,125716.5929218866,16789.780526318227,,18342.322573230154,11436.327787509696,2268.6166306061123,0.0,768190.7562264428,,,769.429066075504,,36.41169809345591,2660.007489387528,,11436.327787509696,375.2780737557746,20134.237375784003,,17234.538592125617,,3263.7029961448197,94772.2433176724,2655.62610467,,,,,,97.47474839,2476.324078471256,,,0.0,,1765.6312434468036,,,,,,4011.9240683157527,,,,,378.84,1999.279,1969.70290687,20597.88572737,,8407.90130877543,1765.6312434468036,104134195.52743155
1735948800,2025-01-04,7490187.85835138,-861044.3538671732,-3557261.424384564,-7298576.026530132,450506.80406255927,748593.2508260934,12188911.659090947,2987355.448354423,1054168.9044659915,-380300.57673694566,-4721244.554508647,,,1756275.5547293047,427837.4865964195,,,358280.87338963593,438.7327733390266,27152.854041734885,-1746400.272581751,,-4602.118656697334,47897.41201178322,,-5688.8862246983945,104108.78458786372,16545.7811971145,,0.0,24040.83448786452,2392.3484732323614,39511.13100529165,12307.3883585429,-4026.8602438328426,,-2149.9096823775963,-44677.07343625621,-82054.46753727138,-540116.5280617917,11951.77222884,12.993253,9613.24052708083,-8009.852087862729,-380.5524716188461,0.0,572705.7537910901,,,,,-2.684300703405978,49678.691045857646,,-8009.852087862729,12.506287723675314,30445.60357098687,,26265.45897607807,,-1005.0306816084312,12116.005320529575,-3354.9683987199987,,,,,,-7046.949518196126,7290.194423741312,,,0.0,,1276.1004712010292,,,,,,3392.66947921,,,,,,-599.9832,-4398.131799000001,8.85481333,,337.54260542342456,1276.1004712010292,2025-01-04,7490187.85835138,861044.3538671732,3557261.424384564,7298576.026530132,450506.80406255927,748593.2508260934,12188911.659090947,2987355.448354423,1054168.9044659915,380300.57673694566,4721244.554508647,,,1756275.5547293047,427837.4865964195,,,358280.87338963593,438.7327733390266,27152.854041734885,1746400.272581751,,4602.118656697334,47897.41201178322,,5688.8862246983945,104108.78458786372,16545.7811971145,,0.0,24040.83448786452,2392.3484732323614,39511.13100529165,12307.3883585429,4026.8602438328426,,2149.9096823775963,44677.07343625621,82054.46753727138,540116.5280617917,11951.77222884,12.993253,9613.24052708083,8009.852087862729,380.5524716188461,0.0,572705.7537910901,,,,,2.684300703405978,49678.691045857646,,8009.852087862729,12.506287723675314,30445.60357098687,,26265.45897607807,,1005.0306816084312,12116.005320529575,3354.9683987199987,,,,,,7046.949518196126,7290.194423741312,,,0.0,,1276.1004712010292,,,,,,3392.66947921,,,,,,599.9832,4398.131799000001,8.85481333,,337.54260542342456,1276.1004712010292,47743847.65106652
1736035200,2025-01-05,3562640.5113828927,24807838.785485253,-2210580.335314088,-14374042.367725529,-459676.5525831422,428463.0651144907,5830055.166388626,2238156.30279566,432031.72646039096,488563.85345204687,1081562.081446191,,,779379.0373549013,324131.3410730744,,,319658.39136640425,-55622.83985230944,-47509.12271560228,-723305.7442096604,,8314.360255829699,81149.33983010007,,-3103.956417514336,65311.38208665617,-93286.7641341266,,-2704.0461869999995,-10940.941232733216,-46788.63700565063,-167254.6001572787,12689.129845535492,-3167.1368540424246,54.47842799604,1359.8481466072708,-5300.693334564166,-173916.82857335717,132150.588046289,7625.7918843428015,,6331.645164418096,-30967.904755039173,-633.4845172014898,,1222476.5128049338,,-4.4095140000000015,-5986.718568,,2.9738366260359,28881.50731465855,,-30967.904755039173,-601.4382797229244,15281.643153288023,,22002.61853060777,,-1366.058328619684,10701.00253899495,-1.03999792,,,,,,1090.262181409546,5832.097015368494,,,0.0,,-366.3097370953679,,,,,,6237.835777835351,,,,,-4992.172,68.720038,-3058.28792725,,,-2317.0352980170096,-366.3097370953679,2025-01-05,3562640.5113828927,24807838.785485253,2210580.335314088,14374042.367725529,459676.5525831422,428463.0651144907,5830055.166388626,2238156.30279566,432031.72646039096,488563.85345204687,1081562.081446191,,,779379.0373549013,324131.3410730744,,,319658.39136640425,55622.83985230944,47509.12271560228,723305.7442096604,,8314.360255829699,81149.33983010007,,3103.956417514336,65311.38208665617,93286.7641341266,,2704.0461869999995,10940.941232733216,46788.63700565063,167254.6001572787,12689.129845535492,3167.1368540424246,54.47842799604,1359.8481466072708,5300.693334564166,173916.82857335717,132150.588046289,7625.7918843428015,,6331.645164418096,30967.904755039173,633.4845172014898,,1222476.5128049338,,4.4095140000000015,5986.718568,,2.9738366260359,28881.50731465855,,30967.904755039173,601.4382797229244,15281.643153288023,,22002.61853060777,,1366.058328619684,10701.00253899495,1.03999792,,,,,,1090.262181409546,5832.097015368494,,,0.0,,366.3097370953679,,,,,,6237.835777835351,,,,,4992.172,68.720038,3058.28792725,,,2317.0352980170096,366.3097370953679,60378871.63891103
1736121600,2025-01-06,-33787841.89444828,24539623.172565907,-2576442.035548769,-5379640.423674375,4459754.845319751,-215781.4436664889,14368960.041066188,-11368408.892664587,-257519.25683115004,1632116.3250528052,6696546.996246418,,,2515526.892603778,390069.3909541951,,,235078.6298381982,-90525.63427704852,4911.349383025168,-756646.9404730364,,-57021.61861581868,-945477.7055077328,,-20888.853049541336,-438549.1530203514,277908.5638582023,,-8795.90669,-9277.016108359614,7349.290064226451,112282.22155113582,14470.638193737104,1206.2506810542873,37.924413294054,-24425.918067086408,-774039.9116019201,58117.25906980988,56854.112035847735,4431.79048004,5.236240398548471,-4210.396415093284,-41613.99796899856,2102.6027780958166,0.0,167772.94323980017,,-94.87713499999984,-2003.984,,-27.729724681004967,31367.24983169284,-403.02018504,-41613.99796899856,-150.19313135336,22117.173316152,,12826.307763096704,,-637.6627717841839,14878.294238365368,11748.38313809,,,,,,96.059641527732,347.33379916622005,,,0.0,,674.9460346463927,,,,,,3594.860908990001,,,,,-1003.7456,,-3986.08365694,554.75934942,,-79.53621517685133,674.9460346463927,2025-01-06,33787841.89444828,24539623.172565907,2576442.035548769,5379640.423674375,4459754.845319751,215781.4436664889,14368960.041066188,11368408.892664587,257519.25683115004,1632116.3250528052,6696546.996246418,,,2515526.892603778,390069.3909541951,,,235078.6298381982,90525.63427704852,4911.349383025168,756646.9404730364,,57021.61861581868,945477.7055077328,,20888.853049541336,438549.1530203514,277908.5638582023,,8795.90669,9277.016108359614,7349.290064226451,112282.22155113582,14470.638193737104,1206.2506810542873,37.924413294054,24425.918067086408,774039.9116019201,58117.25906980988,56854.112035847735,4431.79048004,5.236240398548471,4210.396415093284,41613.99796899856,2102.6027780958166,0.0,167772.94323980017,,94.87713499999984,2003.984,,27.729724681004967,31367.24983169284,403.02018504,41613.99796899856,150.19313135336,22117.173316152,,12826.307763096704,,637.6627717841839,14878.294238365368,11748.38313809,,,,,,96.059641527732,347.33379916622005,,,0.0,,674.9460346463927,,,,,,3594.860908990001,,,,,1003.7456,,3986.08365694,554.75934942,,79.53621517685133,674.9460346463927,112451114.6187093
1736208000,2025-01-07,-210105384.3492213,-4191669.9122654833,-16995427.29880036,-31598878.697818827,2382073.654157562,527624.9926095246,-2641364.573952038,3844328.497125361,-3151097.6317287227,-47202.20869575068,-6700191.385320578,,,2514677.099626056,301711.1125849674,,,-562313.248001047,-490474.21218359575,-4016.815489651664,-232241.35211344925,,-1598.708456205204,205517.66799413384,,-5337.842414012488,510432.0505810675,144549.67990684512,,0.0,-51264.09114209588,132.35727142276826,-11078.862767619665,-25994.4012243866,-6022.246403893732,,4823.162766353187,-45254.96207876637,-41785.44740509908,256919.4633123125,,9.994130877993,-15342.021197300644,-108.320716,-1404.6596874552902,0.0,141726.044055448,,,-4152.507116318816,,0.6535409173177479,-107513.67943551407,,-108.320716,-1.3208684144011045,16994.68413262,,,,-1143.363135170174,54530.47193918094,4074.32909608,,,,,,102.89750483287,3686.577099054229,,,0.0,,-16.9946924688,,,,,,2035.29028565,,,,,,,,0.0,,19749.40940082101,-16.9946924688,2025-01-07,210105384.3492213,4191669.9122654833,16995427.29880036,31598878.697818827,2382073.654157562,527624.9926095246,2641364.573952038,3844328.497125361,3151097.6317287227,47202.20869575068,6700191.385320578,,,2514677.099626056,301711.1125849674,,,562313.248001047,490474.21218359575,4016.815489651664,232241.35211344925,,1598.708456205204,205517.66799413384,,5337.842414012488,510432.0505810675,144549.67990684512,,0.0,51264.09114209588,132.35727142276826,11078.862767619665,25994.4012243866,6022.246403893732,,4823.162766353187,45254.96207876637,41785.44740509908,256919.4633123125,,9.994130877993,15342.021197300644,108.320716,1404.6596874552902,0.0,141726.044055448,,,4152.507116318816,,0.6535409173177479,107513.67943551407,,108.320716,1.3208684144011045,16994.68413262,,,,1143.363135170174,54530.47193918094,4074.32909608,,,,,,102.89750483287,3686.577099054229,,,0.0,,16.9946924688,,,,,,2035.29028565,,,,,,,,0.0,,19749.40940082101,16.9946924688,287974106.518861
1736294400,2025-01-08,9075813.99953413,4212864.424778417,-5201813.620777495,-12760270.007598909,2128812.3515775707,642175.7625007699,-377820.28652749583,-7284645.123985792,1019801.257034456,-428194.8301831102,10755692.1259294,,,3084499.388016301,655318.5673756034,,,826105.4907056473,127731.03783233093,-2842.0803152600347,-445368.4727200652,,-1888.662776207435,427009.0293783851,,-1581.2729204899042,-13110.43519046071,144505.21282962078,,0.0,-17248.092740202843,3569.463002790012,348802.8117938404,-41377.99827987574,18009.751940318216,-12442.834475071,2471.736026571226,73011.764015261,-17313.52457098759,-103777.94217891898,736.93573731,-5.7146241841491445,-4593.7818158809205,-163.26386551076877,-478.489545591652,0.0,334669.7715882948,,,0.0,,-20.88948997561561,-101304.0528219274,,-163.26386551076877,,20373.48880592192,,2462.738091372444,,-310.9234466644201,32878.08470723275,3821.11935666,,,,,,827.40290336,10043.3477268512,,,0.0,,-139788.677943001,,,,,,4047.25463969,0.0,,,,,,,-3493.04839363,,-3410.1550579354634,-139788.677943001,2025-01-08,9075813.99953413,4212864.424778417,5201813.620777495,12760270.007598909,2128812.3515775707,642175.7625007699,377820.28652749583,7284645.123985792,1019801.257034456,428194.8301831102,10755692.1259294,,,3084499.388016301,655318.5673756034,,,826105.4907056473,127731.03783233093,2842.0803152600347,445368.4727200652,,1888.662776207435,427009.0293783851,,1581.2729204899042,13110.43519046071,144505.21282962078,,0.0,17248.092740202843,3569.463002790012,348802.8117938404,41377.99827987574,18009.751940318216,12442.834475071,2471.736026571226,73011.764015261,17313.52457098759,103777.94217891898,736.93573731,5.7146241841491445,4593.7818158809205,163.26386551076877,478.489545591652,0.0,334669.7715882948,,,0.0,,20.88948997561561,101304.0528219274,,163.26386551076877,,20373.48880592192,,2462.738091372444,,310.9234466644201,32878.08470723275,3821.11935666,,,,,,827.40290336,10043.3477268512,,,0.0,,139788.677943001,,,,,,4047.25463969,0.0,,,,,,,3493.04839363,,3410.1550579354634,139788.677943001,61059270.441881254
1736380800,2025-01-09,-57533165.12113926,-1634416.4983507097,-4788540.209084068,430210.0392071903,1166916.6806826862,1192303.4702391163,-1503982.129796926,-4476744.050977428,272294.115489639,-719164.4146548649,6568736.448258652,,,2893162.6129450053,473993.5699008415,,,1210249.258577098,-197412.4849944387,-32458.39130173398,-632653.7041470199,,-2284.193223071983,19200.974748866924,,1896.6291002468847,-81672.30532642016,98557.10375091105,,0.0,-20752.40798164505,3696.1414528281134,174940.38335427584,-2185.6549926655134,8359.126297902738,,321.5531216956824,-84044.72787791156,-13982.643062974268,378798.80455839005,9539.71803008,483.471996007,3749.0440843702927,-54733.85538458396,-87.11109351694995,0.0,7964.377554572071,,,0.0,,-160.13300100541227,0.20141588,,-54733.85538458396,-35.41178541542379,15180.919373547851,,3518.234932059872,,-581.2819514526163,11317.163327099966,18634.97266121,,,,,,770.6762896544574,3435.6983446142085,,,0.0,,131.69032689809342,,,,,,2707.59641948,,,,,0.0,,1552.81925802,,,69012.35594114958,131.69032689809342,2025-01-09,57533165.12113926,1634416.4983507097,4788540.209084068,430210.0392071903,1166916.6806826862,1192303.4702391163,1503982.129796926,4476744.050977428,272294.115489639,719164.4146548649,6568736.448258652,,,2893162.6129450053,473993.5699008415,,,1210249.258577098,197412.4849944387,32458.39130173398,632653.7041470199,,2284.193223071983,19200.974748866924,,1896.6291002468847,81672.30532642016,98557.10375091105,,0.0,20752.40798164505,3696.1414528281134,174940.38335427584,2185.6549926655134,8359.126297902738,,321.5531216956824,84044.72787791156,13982.643062974268,378798.80455839005,9539.71803008,483.471996007,3749.0440843702927,54733.85538458396,87.11109351694995,0.0,7964.377554572071,,,0.0,,160.13300100541227,0.20141588,,54733.85538458396,35.41178541542379,15180.919373547851,,3518.234932059872,,581.2819514526163,11317.163327099966,18634.97266121,,,,,,770.6762896544574,3435.6983446142085,,,0.0,,131.69032689809342,,,,,,2707.59641948,,,,,0.0,,1552.81925802,,,69012.35594114958,131.69032689809342,86875558.12747858
1736467200,2025-01-10,31691132.00901696,-4031453.666707724,6473659.926268339,231696.475813698,840468.4380237642,1031875.4396341512,6501048.801688833,3391445.564208636,0.0,,783386.2649046294,,,2422693.9723887807,-371423.1663600664,,,215430.6984815168,13348.86487100189,-934.5993871429891,-97801.09802797336,,331.5794253505301,2722894.657935297,,-139.96346753186924,-31451.424623275605,46584.21720530852,,0.0,-617.3552914721946,1690.9711350955072,-77558.61694419451,-27071.8190307672,-76719.48830711213,,433.0421145841592,-31385.215720253826,-4204.214378097422,307202.456248774,44.89066571,30.029020021,-15571.940809229807,-5682.486806251372,-3.360825773452,0.0,-77765.75390801171,,,-498.937625,,,-0.0015045800000166,,-5682.486806251372,-107.36025033271414,-28911.366326859017,,13.09052,,-363.112094024114,1716.4078460345795,738.9944518799999,,,,,,170.04091195723,1092.0042047630172,,,0.0,,67.96807321812794,,,,,,358.3003282,,,,,0.0,,,,,7621.020593874853,67.96807321812794,2025-01-10,31691132.00901696,4031453.666707724,6473659.926268339,231696.475813698,840468.4380237642,1031875.4396341512,6501048.801688833,3391445.564208636,0.0,,783386.2649046294,,,2422693.9723887807,371423.1663600664,,,215430.6984815168,13348.86487100189,934.5993871429891,97801.09802797336,,331.5794253505301,2722894.657935297,,139.96346753186924,31451.424623275605,46584.21720530852,,0.0,617.3552914721946,1690.9711350955072,77558.61694419451,27071.8190307672,76719.48830711213,,433.0421145841592,31385.215720253826,4204.214378097422,307202.456248774,44.89066571,30.029020021,15571.940809229807,5682.486806251372,3.360825773452,0.0,77765.75390801171,,,498.937625,,,0.0015045800000166,,5682.486806251372,107.36025033271414,28911.366326859017,,13.09052,,363.112094024114,1716.4078460345795,738.9944518799999,,,,,,170.04091195723,1092.0042047630172,,,0.0,,67.96807321812794,,,,,,358.3003282,,,,,0.0,,,,,7621.020593874853,67.96807321812794,61572591.529255524
