Chain,Volume (USD),Percentage
Ethereum_abs,$16.63B,46.98%
Arbitrum_abs,$8.10B,22.88%
Avalanche_abs,$2.47B,6.98%
BSC_abs,$2.06B,5.82%
Solana_abs,$1.91B,5.39%
Sei_abs,$0.76B,2.15%
Optimism_abs,$0.75B,2.11%
Polygon_abs,$0.50B,1.43%
Sui_abs,$0.29B,0.83%
Sonic_abs,$0.25B,0.72%
Other Chains (82 Chains),$1.67B,4.71%
